setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,145,6.835170
0,0,300000,100%,raw-br-immed-retired,"125,584,480",6.835170
0,0,300000,100%,raw-br-immed-spec,"125,584,480",6.835170
0,0,300000,100%,raw-br-indirect-spec,"677,870",6.835170
0,0,300000,100%,raw-br-mis-pred,"1,340,652",6.835170
0,0,300000,100%,raw-br-mis-pred-retired,"1,593,466",6.835170
0,0,300000,100%,raw-br-pred,"121,848,177",6.874842
0,0,300000,100%,raw-br-retired,"131,371,074",6.874842
0,0,300000,100%,raw-br-return-retired,"4,337,542",6.874842
0,0,300000,100%,raw-br-return-spec,"4,337,542",6.874842
0,0,300000,100%,raw-bus-access,"938,353,536",6.874842
0,0,300000,100%,raw-bus-access-normal,0,6.874842
0,0,300000,100%,raw-bus-access-not-shared,0,6.244233
0,0,300000,100%,raw-bus-access-periph,0,6.244233
0,0,300000,100%,raw-bus-access-rd,"455,490,057",6.244233
0,0,300000,100%,raw-bus-access-shared,0,6.244233
0,0,300000,100%,raw-bus-access-wr,"487,583,751",6.244233
0,0,300000,100%,raw-bus-cycles,"1,865,745,330",6.244233
0,0,300000,100%,raw-cid-write-retired,15,6.904793
0,0,300000,100%,raw-cnt-cycles,0,6.904793
0,0,300000,100%,raw-cpu-cycles,"2,063,616,365",6.904793
0,0,300000,100%,raw-crypto-spec,0,6.904793
0,0,300000,100%,raw-dmb-spec,0,6.904793
0,0,300000,100%,raw-dp-spec,"752,488,493",6.846549
0,0,300000,100%,raw-dsb-spec,0,6.846549
0,0,300000,100%,raw-dtlb-walk,"1,859,278",6.846549
0,0,300000,100%,raw-exc-dabort,0,6.846549
0,0,300000,100%,raw-exc-fiq,1,6.846549
0,0,300000,100%,raw-exc-hvc,0,6.846549
0,0,300000,100%,raw-exc-irq,"2,756",6.875076
0,0,300000,100%,raw-exc-pabort,0,6.875076
0,0,300000,100%,raw-exc-return,"230,551",6.875076
0,0,300000,100%,raw-exc-smc,0,6.875076
0,0,300000,100%,raw-exc-svc,0,6.875076
0,0,300000,100%,raw-exc-taken,"230,552",6.875076
0,0,300000,100%,raw-exc-trap-dabort,0,6.835967
0,0,300000,100%,raw-exc-trap-fiq,0,6.835967
0,0,300000,100%,raw-exc-trap-irq,0,6.835967
0,0,300000,100%,raw-exc-trap-other,0,6.835967
0,0,300000,100%,raw-exc-trap-pabort,0,6.835967
0,0,300000,100%,raw-exc-undef,0,6.835967
0,0,300000,100%,raw-inst-retired,"1,441,973,336",6.242897
0,0,300000,100%,raw-inst-spec,"1,450,376,489",6.242897
0,0,300000,100%,raw-isb-spec,0,6.242897
0,0,300000,100%,raw-itlb-walk,"8,934",6.242897
0,0,300000,100%,raw-l1d-cache,"620,372,590",6.242897
0,0,300000,100%,raw-l1d-cache-allocate,0,6.242897
0,0,300000,100%,raw-l1d-cache-inval,0,6.832171
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,6.832171
0,0,300000,100%,raw-l1d-cache-rd,"675,545,962",6.832171
0,0,300000,100%,raw-l1d-cache-refill,"4,524,436",6.832171
0,0,300000,100%,raw-l1d-cache-refill-inner,"3,106,477",6.832171
0,0,300000,100%,raw-l1d-cache-refill-outer,"1,900,463",6.832171
0,0,300000,100%,raw-l1d-cache-refill-rd,"2,774,913",6.838360
0,0,300000,100%,raw-l1d-cache-refill-wr,"1,689,119",6.838360
0,0,300000,100%,raw-l1d-cache-wb,"113,775,543",6.838360
0,0,300000,100%,raw-l1d-cache-wb-clean,0,6.838360
0,0,300000,100%,raw-l1d-cache-wb-victim,0,6.838360
0,0,300000,100%,raw-l1d-cache-wr,"27,766,797",6.838360
0,0,300000,100%,raw-l1d-tlb,"621,506,917",6.273800
0,0,300000,100%,raw-l1d-tlb-rd,0,6.273800
0,0,300000,100%,raw-l1d-tlb-refill,"6,054,622",6.273800
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,6.273800
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,6.273800
0,0,300000,100%,raw-l1d-tlb-wr,0,6.273800
0,0,300000,100%,raw-l1i-cache,"801,957,986",6.245097
0,0,300000,100%,raw-l1i-cache-lmiss,0,6.245097
0,0,300000,100%,raw-l1i-cache-refill,"1,137,025",6.245097
0,0,300000,100%,raw-l1i-tlb,"843,439,103",6.245097
0,0,300000,100%,raw-l1i-tlb-refill,"333,255",6.245097
0,0,300000,100%,raw-l2d-cache,"244,886,435",6.245097
0,0,300000,100%,raw-l2d-cache-allocate,"128,609,562",6.237407
0,0,300000,100%,raw-l2d-cache-inval,0,6.237407
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,6.237407
0,0,300000,100%,raw-l2d-cache-rd,"116,128,999",6.237407
0,0,300000,100%,raw-l2d-cache-refill,"113,548,710",6.237407
0,0,300000,100%,raw-l2d-cache-refill-rd,"112,903,954",6.237407
0,0,300000,100%,raw-l2d-cache-refill-wr,"648,487",6.891528
0,0,300000,100%,raw-l2d-cache-wb,"120,482,281",6.891528
0,0,300000,100%,raw-l2d-cache-wb-clean,0,6.891528
0,0,300000,100%,raw-l2d-cache-wb-victim,0,6.891528
0,0,300000,100%,raw-l2d-cache-wr,"129,026,395",6.891528
0,0,300000,100%,raw-l2d-tlb,"8,652,920",6.891528
0,0,300000,100%,raw-l2d-tlb-rd,0,6.257709
0,0,300000,100%,raw-l2d-tlb-refill,"1,868,035",6.257709
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,6.257709
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,6.257709
0,0,300000,100%,raw-l2d-tlb-wr,0,6.257709
0,0,300000,100%,raw-l2i-cache,0,6.257709
0,0,300000,100%,raw-l2i-cache-lmiss,0,6.253942
0,0,300000,100%,raw-l2i-cache-refill,0,6.253942
0,0,300000,100%,raw-l2i-tlb,0,6.253942
0,0,300000,100%,raw-l2i-tlb-refill,0,6.253942
0,0,300000,100%,raw-l3d-cache,"234,225,504",6.253942
0,0,300000,100%,raw-l3d-cache-allocate,"120,270,661",6.253942
0,0,300000,100%,raw-l3d-cache-inval,0,6.840743
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,6.840743
0,0,300000,100%,raw-l3d-cache-rd,"113,640,446",6.840743
0,0,300000,100%,raw-l3d-cache-refill,"7,289,623",6.840743
0,0,300000,100%,raw-l3d-cache-refill-rd,"7,289,623",6.840743
0,0,300000,100%,raw-l3d-cache-refill-wr,0,6.840743
0,0,300000,100%,raw-l3d-cache-wb,0,6.234791
0,0,300000,100%,raw-l3d-cache-wb-clean,0,6.234791
0,0,300000,100%,raw-l3d-cache-wb-victim,0,6.234791
0,0,300000,100%,raw-l3d-cache-wr,0,6.234791
0,0,300000,100%,raw-ld-retired,"578,798,798",6.234791
0,0,300000,100%,raw-ld-spec,"579,107,889",6.234791
0,0,300000,100%,raw-ldrex-spec,0,6.239858
0,0,300000,100%,raw-ldst-spec,"639,105,878",6.239858
0,0,300000,100%,raw-ll-cache,0,6.239858
0,0,300000,100%,raw-ll-cache-miss,0,6.239858
0,0,300000,100%,raw-ll-cache-miss-rd,"7,222,474",6.239858
0,0,300000,100%,raw-ll-cache-rd,"113,922,884",6.239858
0,0,300000,100%,raw-mem-access,"705,593,976",6.262099
0,0,300000,100%,raw-mem-access-rd,"594,619,067",6.262099
0,0,300000,100%,raw-mem-access-wr,"110,974,909",6.262099
0,0,300000,100%,raw-memory-error,0,6.262099
0,0,300000,100%,raw-op-retired,0,6.262099
0,0,300000,100%,raw-op-spec,0,6.262099
0,0,300000,100%,raw-pc-write-retired,"99,947,647",6.897901
0,0,300000,100%,raw-pc-write-spec,"134,842,888",6.897901
0,0,300000,100%,raw-rc-ld-spec,0,6.897901
0,0,300000,100%,raw-rc-st-spec,0,6.897901
0,0,300000,100%,raw-remote-access,0,6.897901
0,0,300000,100%,raw-remote-access-rd,0,6.897901
0,0,300000,100%,raw-sample-collision,0,6.896484
0,0,300000,100%,raw-sample-feed,0,6.896484
0,0,300000,100%,raw-sample-filtrate,0,6.896484
0,0,300000,100%,raw-sample-pop,0,6.896484
0,0,300000,100%,raw-st-retired,"45,961,180",6.896484
0,0,300000,100%,raw-st-spec,"64,289,743",6.896484
0,0,300000,100%,raw-stall,0,6.263869
0,0,300000,100%,raw-stall-backend,"900,706,945",6.263869
0,0,300000,100%,raw-stall-backend-mem,0,6.263869
0,0,300000,100%,raw-stall-frontend,"40,375,347",6.263869
0,0,300000,100%,raw-stall-slot,0,6.263869
0,0,300000,100%,raw-stall-slot-backend,0,6.263869
0,0,300000,100%,raw-stall-slot-frontend,0,6.256805
0,0,300000,100%,raw-strex-fail-spec,0,6.256805
0,0,300000,100%,raw-strex-pass-spec,0,6.256805
0,0,300000,100%,raw-strex-spec,0,6.256805
0,0,300000,100%,raw-sve-inst-retired,0,6.256805
0,0,300000,100%,raw-sve-inst-spec,0,6.256805
0,0,300000,100%,raw-sw-incr,0,6.240958
0,0,300000,100%,raw-ttbr-write-retired,47,6.240958
0,0,300000,100%,raw-unaligned-ld-spec,0,6.240958
0,0,300000,100%,raw-unaligned-ldst-retired,"16,928,562",6.240958
0,0,300000,100%,raw-unaligned-ldst-spec,0,6.240958
0,0,300000,100%,raw-unaligned-st-spec,0,6.240958
0,0,300000,100%,raw-vfp-spec,"41,884",6.905572
0,0,1248000,100%,raw-ase-spec,145,2.059287
0,0,1248000,100%,raw-br-immed-retired,"164,769,087",2.059287
0,0,1248000,100%,raw-br-immed-spec,"164,769,087",2.059287
0,0,1248000,100%,raw-br-indirect-spec,"948,998",2.059287
0,0,1248000,100%,raw-br-mis-pred,"922,698",2.059287
0,0,1248000,100%,raw-br-mis-pred-retired,"1,291,805",2.059287
0,0,1248000,100%,raw-br-pred,"160,702,944",2.055806
0,0,1248000,100%,raw-br-retired,"171,166,096",2.055806
0,0,1248000,100%,raw-br-return-retired,"4,910,949",2.055806
0,0,1248000,100%,raw-br-return-spec,"4,910,949",2.055806
0,0,1248000,100%,raw-bus-access,"927,401,033",2.055806
0,0,1248000,100%,raw-bus-access-normal,0,2.055806
0,0,1248000,100%,raw-bus-access-not-shared,0,2.063563
0,0,1248000,100%,raw-bus-access-periph,0,2.063563
0,0,1248000,100%,raw-bus-access-rd,"447,989,684",2.063563
0,0,1248000,100%,raw-bus-access-shared,0,2.063563
0,0,1248000,100%,raw-bus-access-wr,"479,465,849",2.063563
0,0,1248000,100%,raw-bus-cycles,"2,570,450,166",2.063563
0,0,1248000,100%,raw-cid-write-retired,9,2.053504
0,0,1248000,100%,raw-cnt-cycles,0,2.053504
0,0,1248000,100%,raw-cpu-cycles,"2,557,543,820",2.053504
0,0,1248000,100%,raw-crypto-spec,0,2.053504
0,0,1248000,100%,raw-dmb-spec,0,2.053504
0,0,1248000,100%,raw-dp-spec,"803,107,138",2.047269
0,0,1248000,100%,raw-dsb-spec,0,2.047269
0,0,1248000,100%,raw-dtlb-walk,"1,854,198",2.047269
0,0,1248000,100%,raw-exc-dabort,0,2.047269
0,0,1248000,100%,raw-exc-fiq,0,2.047269
0,0,1248000,100%,raw-exc-hvc,0,2.047269
